"Month","Ta","Ld"
1,1.05,9.4807203548335
2,4.53,10.591464429
3,9.31,11.993907308443
4,12.01,13.4317321198083
5,19.99,14.6470002171423
6,25.17,15.2482670012033
7,27.17,14.9102941534601
8,27.65,13.820136856438
9,23.66,12.436877871427
10,17.25,11.0066474490426
11,11.61,9.75602554107832
12,2.39,9.12270351063292
